iter	Passed	Remaining
401	13342	19848
402	13368	19804
403	13386	19748
404	13409	19700
405	13431	19651
406	13448	19594
407	13465	19538
408	13482	19481
409	13506	19435
410	13537	19399
411	13563	19357
412	13584	19307
413	13605	19257
414	13624	19206
415	13645	19156
416	13662	19101
417	13679	19046
418	13696	18992
419	13720	18947
420	13752	18913
421	13780	18874
422	13802	18827
423	13824	18780
424	13848	18736
425	13866	18684
426	13884	18631
427	13905	18584
428	13927	18537
429	13956	18499
430	13979	18455
431	14003	18411
432	14025	18365
433	14046	18319
434	14070	18275
435	14089	18225
436	14107	18174
437	14125	18124
438	14149	18081
439	14175	18041
440	14200	18000
441	14225	17958
442	14246	17912
443	14279	17881
444	14300	17834
445	14319	17786
446	14337	17737
447	14361	17694
448	14389	17658
449	14521	17748
450	14621	17798
451	14647	17758
452	14684	17731
453	14705	17685
454	14725	17637
455	14751	17598
456	14784	17566
457	14811	17527
458	14838	17488
459	14868	17454
460	14892	17412
461	14921	17375
462	14941	17330
463	14964	17286
464	14987	17243
465	15008	17198
466	15027	17151
467	15045	17102
468	15067	17059
469	15090	17016
470	15114	16975
471	15140	16937
472	15160	16890
473	15186	16852
474	15207	16807
475	15228	16764
476	15246	16717
477	15266	16671
478	15291	16632
479	15322	16599
480	15359	16572
481	15392	16542
482	15419	16504
483	15450	16471
484	15473	16430
485	15499	16392
486	15528	16357
487	15561	16326
488	15593	16294
489	15622	16260
490	15651	16224
491	15682	16192
492	15707	16153
493	15738	16120
494	15779	16098
495	15813	16068
496	15841	16032
497	15971	16099
498	16075	16140
499	16104	16104
500	16144	16080
501	16171	16042
502	16196	16003
503	16231	15973
504	16291	15968
505	16328	15941
506	16361	15909
507	16392	15876
508	16425	15845
509	16454	15809
510	16482	15772
511	16506	15732
512	16527	15689
513	16551	15649
514	16567	15602
515	16584	15555
516	16606	15514
517	16628	15472
518	16653	15434
519	16683	15399
520	16708	15361
521	16731	15321
522	16750	15277
523	16773	15237
524	16794	15195
525	16810	15148
526	16829	15104
527	16852	15064
528	16885	15033
529	16910	14995
530	16939	14961
531	16965	14924
532	16991	14887
533	17011	14845
534	17032	14804
535	17058	14767
536	17083	14728
537	17118	14700
538	17156	14673
539	17187	14641
540	17216	14606
541	17245	14572
542	17271	14536
543	17298	14499
544	17327	14465
545	17353	14429
546	17376	14390
547	17400	14352
548	17424	14313
549	17442	14270
550	17462	14230
551	17484	14190
552	17510	14154
553	17537	14118
554	17562	14081
555	17585	14043
556	17611	14006
557	17631	13966
558	17650	13924
559	17667	13881
560	17690	13843
561	17718	13809
562	17754	13780
563	17788	13751
564	17816	13717
565	17842	13681
566	17873	13649
567	17902	13616
568	17934	13584
569	17963	13551
570	18163	13646
571	18299	13692
572	18344	13670
573	18380	13641
574	18404	13603
575	18439	13573
576	18507	13567
577	18559	13550
578	18607	13530
579	18651	13506
580	18688	13477
581	18723	13447
582	18765	13422
583	18800	13392
584	18838	13364
585	18880	13339
586	18915	13308
587	18949	13277
588	18984	13246
589	19013	13212
590	19048	13182
591	19082	13151
592	19109	13115
593	19132	13076
594	19165	13045
595	19198	13013
596	19229	12980
597	19258	12946
598	19294	12916
599	19329	12886
600	19366	12857
601	19398	12824
602	19436	12796
603	19470	12765
604	19507	12736
605	19539	12704
606	19565	12667
607	19603	12639
608	19630	12603
609	19658	12568
610	19682	12531
611	19712	12497
612	19744	12465
613	19777	12433
614	19810	12401
615	19839	12367
616	19870	12334
617	19900	12301
618	19929	12267
619	19959	12233
620	19994	12203
621	20034	12175
622	20061	12139
623	20092	12106
624	20123	12074
625	20157	12042
626	20188	12010
627	20219	11977
628	20249	11943
629	20281	11911
630	20414	11937
631	20558	11970
632	20597	11941
633	20636	11913
634	20678	11886
635	20702	11848
636	20736	11816
637	20796	11800
638	20835	11770
639	20876	11742
640	20903	11707
641	20938	11676
642	20967	11641
643	21000	11608
644	21029	11574
645	21059	11540
646	21090	11506
647	21118	11472
648	21148	11437
649	21181	11405
650	21216	11373
651	21254	11344
652	21291	11313
653	21327	11283
654	21363	11252
655	21406	11225
656	21442	11194
657	21479	11164
658	21512	11131
659	21541	11097
660	21577	11066
661	21613	11035
662	21658	11008
663	21688	10974
664	21724	10943
665	21760	10912
666	21798	10883
667	21835	10852
668	21870	10820
669	21900	10786
670	21924	10749
671	21961	10719
672	21987	10683
673	22016	10649
674	22045	10614
675	22077	10581
676	22107	10547
677	22142	10515
678	22171	10481
679	22199	10446
680	22223	10409
681	22248	10373
682	22270	10336
683	22293	10299
684	22315	10261
685	22337	10224
686	22362	10188
687	22383	10150
688	22401	10111
689	22419	10072
690	22446	10037
691	22482	10006
692	22520	9976
693	22557	9946
694	22586	9912
695	22623	9881
696	22653	9847
697	22685	9815
698	22713	9780
699	22745	9748
700	22777	9715
701	22811	9683
702	22848	9652
703	22882	9620
704	22914	9588
705	22952	9557
706	23072	9561
707	23178	9559
708	23277	9553
709	23306	9519
710	23349	9491
711	23376	9455
712	23405	9421
713	23448	9392
714	23504	9368
715	23558	9344
716	23606	9317
717	23639	9284
718	23673	9251
719	23705	9218
720	23739	9186
721	23780	9156
722	23806	9120
723	23840	9088
724	23860	9050
725	23891	9016
726	23920	8982
727	23952	8949
728	23984	8916
729	24019	8883
730	24050	8850
731	24085	8818
732	24124	8787
733	24163	8756
734	24198	8724
735	24221	8688
736	24246	8652
737	24276	8618
738	24306	8584
739	24335	8550
740	24364	8516
741	24396	8482
742	24426	8448
743	24460	8416
744	24494	8384
745	24527	8351
746	24559	8318
747	24591	8284
748	24618	8249
749	24649	8216
750	24687	8185
751	24718	8151
752	24752	8119
753	24782	8085
754	24810	8051
755	24845	8018
756	24933	8003
757	25105	8015
758	25159	7988
759	25204	7959
760	25225	7922
761	25252	7887
762	25290	7855
763	25333	7825
764	25373	7794
765	25411	7762
766	25444	7729
767	25467	7693
768	25500	7659
769	25523	7624
770	25546	7587
771	25569	7551
772	25595	7516
773	25617	7480
774	25649	7446
775	25687	7415
776	25726	7383
777	25762	7351
778	25786	7315
779	25819	7282
780	25858	7251
781	25899	7220
782	25943	7189
783	25981	7158
784	26014	7124
785	26057	7094
786	26095	7062
787	26134	7031
788	26174	6999
789	26215	6968
790	26253	6936
791	26288	6904
792	26329	6872
793	26370	6841
794	26404	6808
795	26436	6775
796	26470	6742
797	26501	6708
798	26538	6676
799	26573	6643
800	26610	6611
801	26650	6579
802	26680	6545
803	26711	6511
804	26751	6480
805	26783	6446
806	26816	6413
807	26844	6378
808	26871	6344
809	26899	6309
810	26923	6274
811	26946	6238
812	26971	6203
813	26994	6168
814	27017	6132
815	27038	6096
816	27060	6061
817	27081	6025
818	27101	5989
819	27120	5953
820	27139	5917
821	27159	5881
822	27184	5846
823	27215	5813
824	27241	5778
825	27282	5747
826	27321	5715
827	27351	5681
828	27380	5647
829	27410	5614
830	27438	5580
831	27470	5546
832	27502	5513
833	27599	5493
834	27799	5493
835	27838	5461
836	27871	5427
837	27897	5393
838	27927	5359
839	27970	5327
840	27992	5292
841	28016	5257
842	28045	5223
843	28080	5190
844	28119	5157
845	28151	5124
846	28177	5089
847	28201	5054
848	28226	5020
849	28251	4985
850	28275	4950
851	28302	4916
852	28331	4882
853	28357	4848
854	28384	4813
855	28410	4779
856	28434	4744
857	28460	4710
858	28482	4675
859	28504	4640
860	28525	4605
861	28550	4570
862	28579	4536
863	28606	4502
864	28633	4468
865	28658	4434
866	28686	4400
867	28706	4365
868	28727	4330
869	28753	4296
870	28780	4262
871	28807	4228
872	28838	4195
873	28865	4161
874	28893	4127
875	28922	4094
876	28950	4060
877	28981	4027
878	29011	3993
879	29043	3960
880	29075	3927
881	29109	3894
882	29140	3861
883	29187	3830
884	29220	3796
885	29246	3763
886	29274	3729
887	29302	3695
888	29326	3661
889	29353	3628
890	29380	3594
891	29409	3560
892	29441	3527
893	29475	3494
894	29504	3461
895	29540	3428
896	29575	3396
897	29615	3363
898	29652	3331
899	29686	3298
900	29721	3265
901	29758	3233
902	29788	3199
903	29822	3166
904	29857	3134
905	29884	3100
906	29914	3067
907	29941	3033
908	29970	3000
909	30070	2973
910	30171	2947
911	30247	2918
912	30276	2885
913	30323	2853
914	30351	2819
915	30378	2785
916	30413	2752
917	30445	2719
918	30481	2686
919	30513	2653
920	30539	2619
921	30563	2585
922	30595	2552
923	30622	2518
924	30650	2485
925	30717	2454
926	30784	2424
927	30846	2393
928	30909	2362
929	30999	2333
930	31045	2300
931	31077	2267
932	31145	2236
933	31209	2205
934	31251	2172
935	31296	2139
936	31334	2106
937	31442	2078
938	31660	2056
939	31723	2024
940	31761	1991
941	31830	1959
942	31871	1926
943	31910	1893
944	31939	1858
945	31966	1824
946	31993	1790
947	32020	1756
948	32050	1722
949	32079	1688
950	32113	1654
951	32144	1620
952	32176	1586
953	32203	1552
954	32235	1518
955	32266	1485
956	32291	1450
957	32312	1416
958	32337	1382
959	32363	1348
960	32385	1314
961	32406	1280
962	32427	1245
963	32451	1211
964	32477	1177
965	32500	1143
966	32521	1109
967	32539	1075
968	32560	1041
969	32582	1007
970	32602	973
971	32625	939
972	32652	906
973	32682	872
974	32708	838
975	32730	804
976	32749	770
977	32772	737
978	32808	703
979	32845	670
980	32884	636
981	32924	603
982	32953	569
983	32979	536
984	33008	502
985	33031	469
986	33066	435
987	33107	402
988	33175	368
989	33230	335
990	33283	302
991	33349	268
992	33399	235
993	33444	201
994	33525	168
995	33562	134
996	33608	101
997	33800	67
998	33985	34
999	34070	0
