iter	Logloss
0	0.6273359497
1	0.572877124
2	0.5269437866
3	0.4879582336
4	0.45680896
5	0.4293381042
6	0.4077210449
7	0.3867569366
8	0.3695555939
9	0.35570159
10	0.3421640411
11	0.331115448
12	0.3218065491
13	0.3129202057
14	0.3061902222
15	0.299903009
16	0.2950541931
17	0.2903814972
18	0.2858028046
19	0.2822878204
20	0.2785342285
21	0.2751302826
22	0.2721434875
23	0.269790274
24	0.2673455292
25	0.2653107117
26	0.2633510162
27	0.2614854004
28	0.259738739
29	0.2586588776
30	0.256854007
31	0.2553240173
32	0.2539349152
33	0.2529160095
34	0.2518590302
35	0.2509534668
36	0.2497716248
37	0.2489635651
38	0.2480095703
39	0.2471810089
40	0.2461630585
41	0.2454313049
42	0.2446702881
43	0.243985376
44	0.2431853821
45	0.2423353973
46	0.2416636749
47	0.2410338837
48	0.2404637787
49	0.2397140015
50	0.2390177277
51	0.2382177155
52	0.2375130585
53	0.2370935486
54	0.2366185242
55	0.2362382233
56	0.2357481842
57	0.2353100952
58	0.2345675262
59	0.234127887
60	0.2338036102
61	0.2334836914
62	0.2329955383
63	0.2323005249
64	0.2318201508
65	0.2315189056
66	0.2311608948
67	0.2306613861
68	0.2302601318
69	0.2299157562
70	0.2295263306
71	0.2293634064
72	0.2290194458
73	0.2287063599
74	0.2283794861
75	0.2279212555
76	0.2275465118
77	0.2270426971
78	0.2266462494
79	0.2264352478
80	0.2260378754
81	0.2257809479
82	0.225214389
83	0.2248652008
84	0.2246003082
85	0.2243168915
86	0.2240331482
87	0.2237701141
88	0.2234124237
89	0.2231912506
90	0.2228460419
91	0.2225601166
92	0.2223047729
93	0.2220628662
94	0.2218704834
95	0.2216331268
96	0.2214631927
97	0.2212546356
98	0.2210296082
99	0.2208135101
100	0.22057771
101	0.2203526611
102	0.2202341888
103	0.2200305756
104	0.2199350769
105	0.2197940704
106	0.2195080688
107	0.2193394348
108	0.2191399017
109	0.2189406189
110	0.2187229248
111	0.2184847504
112	0.2182398041
113	0.2180517975
114	0.2178735382
115	0.2176439301
116	0.2173072754
117	0.2171551514
118	0.2169287689
119	0.2168273621
120	0.2166558838
121	0.2165064545
122	0.2162779602
123	0.2161101776
124	0.2158449127
125	0.2156203583
126	0.2155558716
127	0.2154161591
128	0.2152305267
129	0.2150781006
130	0.2147757111
131	0.2146854309
132	0.2145304047
133	0.2143492859
134	0.2142094604
135	0.2140633942
136	0.2138448486
137	0.2136975677
138	0.2135559906
139	0.2133257446
140	0.2132001495
141	0.2130145142
142	0.2128869263
143	0.2126846375
144	0.2125571228
145	0.212357132
146	0.2122271164
147	0.2120827042
148	0.2118918076
149	0.2117819336
150	0.2116751801
151	0.2115731415
152	0.2114488754
153	0.2113824738
154	0.2112911362
155	0.2112034332
156	0.2111010864
157	0.2108937561
158	0.2106975082
159	0.2106112518
160	0.210531842
161	0.2103773499
162	0.2101957367
163	0.2100001556
164	0.2098607727
165	0.2097432327
166	0.2095676208
167	0.2094225006
168	0.2093091919
169	0.2091494202
170	0.2090336929
171	0.2089682602
172	0.2088413757
173	0.2087170639
174	0.2085603729
175	0.2083760544
176	0.2082546844
177	0.2081296722
178	0.2080390152
179	0.2079285309
180	0.2078380997
181	0.2077869476
182	0.2076447388
183	0.2075536728
184	0.2074258804
185	0.2072958466
186	0.2072341507
187	0.2070736176
188	0.2069669327
189	0.2068648483
190	0.2067558746
191	0.2066182983
192	0.2064396103
193	0.2063677872
194	0.2062761078
195	0.2061429459
196	0.2060648193
197	0.2058977325
198	0.2057159439
199	0.2056656738
200	0.2055431519
201	0.205379715
202	0.2053191818
203	0.2052027802
204	0.2051411789
205	0.2050353714
206	0.204957341
207	0.2048680161
208	0.2047801315
209	0.2046662262
210	0.2045849182
211	0.2044737427
212	0.2043743103
213	0.2042321945
214	0.2041920776
215	0.2041207092
216	0.2040013672
217	0.203916304
218	0.2038419434
219	0.2037404449
220	0.2036265045
221	0.2035589157
222	0.2034287186
223	0.2033494095
224	0.2032890274
225	0.20324254
226	0.203092688
227	0.2029727966
228	0.2029666138
229	0.2029304825
230	0.202802861
231	0.2026885895
232	0.2026235947
233	0.2025744415
234	0.2025161774
235	0.2024435318
236	0.2023864349
237	0.2022817825
238	0.2022006744
239	0.2020863785
240	0.2020074417
241	0.2019379776
242	0.2018708221
243	0.2017496384
244	0.2016471451
245	0.201528125
246	0.201474202
247	0.2014205048
248	0.2013693695
249	0.2013625488
250	0.2013142822
251	0.2012274231
252	0.2011563019
253	0.2010839035
254	0.2010105667
255	0.2009116165
256	0.200755014
257	0.2007006836
258	0.2005987762
259	0.2004949661
260	0.2004201416
261	0.2003616425
262	0.2003112061
263	0.2002067505
264	0.2001178772
265	0.2000216492
266	0.1999591019
267	0.1998879852
268	0.1998322647
269	0.1997792542
270	0.1996902817
271	0.1996307678
272	0.1995180374
273	0.1994969101
274	0.1994139297
275	0.1994082108
276	0.1993726868
277	0.1993078827
278	0.1992647308
279	0.1992237
280	0.1991829376
281	0.1991785461
282	0.1991750443
283	0.1991364014
284	0.1990601379
285	0.1989690689
286	0.1988558914
287	0.1987062897
288	0.1986439774
289	0.1985957123
290	0.1984690857
291	0.1983845764
